iter	MultiClass	TotalF1:use_weights=true	TotalF1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false	MultiClass:use_weights=true	MultiClass:use_weights=false
45	0.1785816548	0.9545392491	0.9270076179	0.9548428022	0.9264612452	0.1785816548	0.2530217986
46	0.1744772335	0.9572547688	0.9293149775	0.9575863126	0.9288437103	0.1744772335	0.2480518728
47	0.172526157	0.9588209339	0.930721465	0.9591503631	0.9302731893	0.172526157	0.2454065153
48	0.1696143716	0.9590304342	0.9307465249	0.9593367198	0.9302731893	0.1696143716	0.2419577866
49	0.1656559973	0.9591801613	0.9318348196	0.9594621594	0.9313850064	0.1656559973	0.237025785
50	0.1610347247	0.9640375175	0.9369775394	0.9642867986	0.9366264295	0.1610347247	0.2304774412
51	0.1578717697	0.9658813225	0.9404094528	0.966093081	0.9401207116	0.1578717697	0.2260155346
52	0.1547231616	0.9672049504	0.9413641966	0.9674148996	0.9410736976	0.1547231616	0.2221064763
53	0.1530945908	0.9676362095	0.9423085828	0.9678358261	0.9420266836	0.1530945908	0.220673155
54	0.1500428175	0.9690411994	0.9430720854	0.9692579064	0.9428208386	0.1500428175	0.2170670995
55	0.1458299186	0.9700297475	0.9449499919	0.9702365598	0.9447268107	0.1458299186	0.2103967993
56	0.1437339765	0.9708334138	0.9449566653	0.9710493507	0.9447268107	0.1437339765	0.2083866034
57	0.1430393622	0.970585962	0.9447982983	0.9707972074	0.9445679797	0.1430393622	0.207301457
58	0.1425244005	0.9716117379	0.9462289604	0.9718224964	0.9459974587	0.1425244005	0.2060207281
59	0.1400886504	0.9731709665	0.9489057607	0.9733714657	0.9486975858	0.1400886504	0.2029378588
60	0.1390130057	0.9728944278	0.9489148237	0.9730825981	0.9486975858	0.1390130057	0.2009625743
61	0.1371322991	0.9732566754	0.9496965794	0.9734280124	0.9494917408	0.1371322991	0.1984976091
62	0.1349578789	0.9740145243	0.9500128033	0.9741961298	0.9498094028	0.1349578789	0.1960518964
63	0.1333831532	0.9746723435	0.951111076	0.9748548341	0.9509212198	0.1333831532	0.1943199375
64	0.1326128431	0.974446244	0.9510978962	0.9746295039	0.9509212198	0.1326128431	0.1933317514
65	0.1312939715	0.9763629992	0.9530015181	0.9765386817	0.9528271919	0.1312939715	0.1920619102
66	0.1281064946	0.9769358837	0.9550212489	0.9770939163	0.9548919949	0.1281064946	0.1867415286
67	0.1267518018	0.9778593276	0.9564464897	0.9780069687	0.956321474	0.1267518018	0.1844915805
68	0.125520866	0.9783551082	0.9570833791	0.978505511	0.956956798	0.125520866	0.1828062451
69	0.1240028058	0.9797536495	0.9581870981	0.9799079102	0.958068615	0.1240028058	0.1811135035
70	0.1220631309	0.980212972	0.958982296	0.9803655611	0.95886277	0.1220631309	0.178620623
71	0.1214017058	0.9804305131	0.9592919125	0.9805809799	0.959180432	0.1214017058	0.1777475703
72	0.11978643	0.9811099606	0.9605836744	0.9812418892	0.9604510801	0.11978643	0.1752201962
73	0.1183707743	0.9805892743	0.9599464753	0.9807229502	0.959815756	0.1183707743	0.1739412727
74	0.1160968333	0.9824536513	0.9619902345	0.9825810381	0.9618805591	0.1160968333	0.1708585374
75	0.1154457448	0.9832397214	0.96278133	0.9833664858	0.9626747141	0.1154457448	0.1699075876
76	0.114275391	0.9838645033	0.9637298544	0.9839881787	0.9636277001	0.114275391	0.1684488296
