iter	Passed	Remaining
776	36893	10588
777	36948	10543
778	37012	10500
779	37066	10454
780	37119	10408
781	37171	10362
782	37217	10314
783	37269	10268
784	37319	10221
785	37371	10175
786	37416	10126
787	37464	10079
788	37523	10034
789	37574	9988
790	37625	9941
791	37681	9896
792	37747	9853
793	37817	9811
794	37874	9766
795	37935	9722
796	37990	9676
797	38054	9632
798	38104	9585
799	38154	9538
800	38204	9491
801	38256	9444
802	38305	9397
803	38352	9349
804	38404	9302
805	38464	9258
806	38516	9211
807	38572	9165
808	38620	9118
809	38668	9070
810	38718	9023
811	38769	8976
812	38820	8929
813	38869	8881
814	38922	8835
815	38969	8787
816	39013	8738
817	39061	8690
818	39122	8646
819	39165	8597
820	39209	8548
821	39251	8499
822	39295	8451
823	39339	8402
824	39389	8355
825	39431	8306
826	39474	8257
827	39520	8209
828	39565	8161
829	39614	8113
830	39662	8066
831	39708	8018
832	39757	7970
833	39802	7922
834	39850	7874
835	39897	7826
836	39941	7778
837	39984	7729
838	40030	7681
839	40084	7635
840	40132	7587
841	40182	7540
842	40243	7494
843	40303	7449
844	40364	7404
845	40428	7359
846	40489	7314
847	40547	7267
848	40602	7221
849	40655	7174
850	40703	7126
851	40747	7078
852	40789	7029
853	40832	6980
854	40877	6932
855	40922	6884
856	40971	6836
857	41016	6788
858	41062	6740
859	41112	6692
860	41177	6647
861	41240	6602
862	41299	6556
863	41360	6510
864	41410	6462
865	41468	6416
866	41527	6370
867	41580	6323
868	41631	6275
869	41692	6229
870	41742	6182
871	41791	6134
872	41840	6086
873	41892	6039
874	41949	5992
875	42003	5945
876	42057	5898
877	42118	5852
878	42168	5804
879	42218	5757
880	42269	5709
881	42319	5661
882	42367	5613
883	42415	5565
884	42465	5518
885	42512	5469
886	42564	5422
887	42616	5375
888	42676	5328
889	42735	5281
890	42796	5235
891	42853	5188
892	42905	5140
893	42953	5092
894	43005	5045
895	43057	4997
896	43102	4949
897	43147	4900
898	43191	4852
899	43243	4804
900	43286	4756
901	43326	4707
902	43368	4658
903	43409	4609
904	43453	4561
905	43494	4512
906	43543	4464
907	43593	4416
908	43642	4369
909	43694	4321
910	43738	4273
911	43784	4224
912	43829	4176
913	43878	4128
914	43927	4080
915	43975	4032
916	44023	3984
917	44074	3936
918	44130	3889
919	44180	3841
920	44232	3794
921	44284	3746
922	44332	3698
923	44384	3650
924	44436	3602
925	44487	3555
926	44537	3507
927	44587	3459
928	44637	3411
929	44685	3363
930	44730	3315
931	44782	3267
932	44842	3220
933	44898	3172
934	44956	3125
935	45007	3077
936	45058	3029
937	45109	2981
938	45165	2934
939	45221	2886
940	45276	2838
941	45337	2791
942	45400	2744
943	45466	2697
944	45531	2649
945	45582	2601
946	45628	2553
947	45672	2505
948	45715	2456
949	45765	2408
950	45824	2361
951	45890	2313
952	45952	2266
953	46014	2218
954	46075	2171
955	46133	2123
956	46187	2075
957	46240	2027
958	46291	1979
959	46340	1930
960	46385	1882
961	46437	1834
962	46492	1786
963	46538	1737
964	46592	1689
965	46653	1642
966	46742	1595
967	46798	1547
968	46853	1498
969	46915	1450
970	46976	1403
971	47033	1354
972	47094	1306
973	47154	1258
974	47225	1210
975	47294	1162
976	47352	1114
977	47408	1066
978	47469	1018
979	47545	970
980	47599	921
981	47675	873
982	47750	825
983	47830	777
984	47905	729
985	47971	681
986	48035	632
987	48102	584
988	48164	535
989	48220	487
990	48273	438
991	48323	389
992	48370	340
993	48421	292
994	48468	243
995	48514	194
996	48566	146
997	48625	97
998	48675	48
999	48717	0
